"prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC","instance"
0.4465,5.93306061654323,0.0343778533174727,0.0317417229900387,6541.02774028563,5672.90906750756,21
0.1405,2.98792580910437,0.059296247229842,0.057544732895656,1779.37985674511,1474.61071440555,22
0.264,5.17877656317671,0.0397940415686994,0.0391656139831799,4886.28863579732,3958.51481351498,23
0.3765,4.84207721634009,0.0194147308482398,0.011864546846353,9082.10018140998,11537.6156163719,24
0.4385,9.50423437103206,0.034476680459687,0.0257369257130425,10433.9778764621,11225.3663104788,25
0.347,3.94402496899883,0.0272318394074063,0.0184071083840771,5317.01924078073,6180.35529829824,26
0.3,4.16352239592381,0.0575808075955611,0.0471335648696664,2621.02161902114,2716.40729139033,27
0.294,3.56523570799378,0.0402141685981865,0.0358976502907151,3265.38372234905,2944.28836310866,28
0.2075,3.00490657508849,0.0485177558506722,0.0441251975255093,2215.69614981685,1948.08130305749,29
0.2625,2.60387377289115,0.0569260245720844,0.0499062686296965,1680.42986767486,1543.74253586662,30
0.3115,2.53379488722466,0.0728089123618111,0.0691152991345456,1265.95921175468,1071.47096556501,31
0.46,12.9228926895129,0.0470201819190893,0.0323339437099404,10235.3481907474,12366.1119083194,32
0.3365,5.11126394483037,0.113134943856108,0.0935870483241259,1526.51866443909,1663.11073307552,33
0.476,8.94841372168015,0.013880217238619,0.0101358791983609,23809.1196756545,25418.8087622641,34
0.3665,2.70241373994835,0.0173536444921336,0.0135535705218994,5540.49647351164,5552.1436648977,35
0.372,3.78421162046592,0.0268704565301937,0.0169532991238081,5138.54939475423,6418.64623831848,36
0.269,3.77698731511727,0.0415766067958907,0.0376960315437723,3340.65513251186,2952.55771076891,37
0.3645,4.78481905119722,0.0822762595238752,0.0601189353794244,1971.98889356297,2433.55212362526,38
0.359,5.52469838910291,0.0284264861028066,0.0270676969239111,7375.31566182663,6219.52998062768,39
0.3115,4.04149601277977,0.0687283781562952,0.0567805381096972,2149.61442873896,2144.4900877706,40
0.303,4.50638030431029,0.0192401946775379,0.0153524518145524,8698.45004107743,8570.70746275121,41
0.1855,3.2608515552055,0.094873511767872,0.0867379042090095,1246.81222297591,1109.19378615326,42
0.4395,7.45557826761993,0.0607354223079532,0.043588207509999,4383.89508795926,5280.03257715217,43
0.4375,7.41736400347134,0.0339898530414379,0.0264441862196692,8249.59814522885,8508.72830329562,44
0.3905,5.87505224715165,0.09399131211889,0.0514089783246243,1582.50581601079,3523.43371952212,45
0.4195,3.67768250957771,0.0145172766516419,0.00692600693716097,9166.58679381873,14251.6329990437,46
0.4565,6.38170180113773,0.0250449864644344,0.00788351598605137,9282.46295781617,22636.2671250036,47
0.311,3.13603363819039,0.0137059779440824,0.00947975719586189,7916.71988465461,8777.18105434922,48
0.429,4.44989571441097,0.0141192143408298,0.00893429365358676,11525.4817830279,13953.4287418875,49
0.3615,4.89946469660403,0.0143081970135504,0.0100017070731524,12202.2394126994,13462.8257155219,50
0.363,5.108003484028,0.0223565668343653,0.0217206689646332,8462.15814301706,6947.45748139778,51
0.4165,3.80709552181032,0.00860103242184906,0.00757061284141684,15154.4976999005,13475.6119673388,52
0.4065,3.37173459114117,0.00918178045662462,0.00651714943091455,12527.7787842203,13432.5186563999,53
0.1965,2.93025980695815,0.0840016806969483,0.0724725365610548,1240.29796720489,1197.21543310069,54
0.2815,3.79816922961947,0.102322097300809,0.0858157986289373,1296.93774430999,1328.57267700437,55
0.332,3.87220662720066,0.0327276450129276,0.0256829698346694,4369.41818607311,4452.52709340517,56
0.4325,8.44810456042821,0.0363780354364879,0.0362558479205553,8887.93740741746,7121.49082386992,57
0.4435,7.77331363757524,0.0958094381490755,0.0574273972250585,2766.67118236275,4106.12749390906,58
0.1885,3.43724425037417,0.024573348619333,0.0228947750548128,4933.71825247657,4217.01954710737,59
0.3935,4.0074091920316,0.00874322279287953,0.00688284850057311,15604.3485343705,15267.820105727,60
